# Quantenoptiklabor: Experiment Hong-Ou-Mandel dip
# Messung vom 27.06.2008, 13:39 Uhr
# Aufnahme von 280 Schritten in 1ym Abstand (optischer Weg = 2ym)
# Messung: 10 mal für 10s
# Der Datensatz aus dem Experiment kann z.B. zum Auswerten in Excel importiert werden

 
# Didaktik der Physik, Universität Erlangen


#Achsenbeschriftung:
# Wegposition [mm]; 	Detektor 1;	Stabw D1; 	Detektor 2;	Stabw D2; 	Koinzidenzen; 	Stabw Koinz




28,02893    ;   115058,50000    ;   321,65656    ;   111334,40000    ;   349,52005    ;   1569,10000    ;   32,14706
28,02995    ;   114755,70000    ;   461,73394    ;   111118,50000    ;   319,86777    ;   1505,80000    ;   26,38518
28,03092    ;   114777,30000    ;   323,00191    ;   111306,50000    ;   347,40826    ;   1411,90000    ;   44,29560
28,03194    ;   114853,00000    ;   348,13120    ;   110996,30000    ;   331,94479    ;   1272,20000    ;   33,79612
28,03296    ;   114687,00000    ;   433,58070    ;   111125,00000    ;   246,04110    ;   1203,10000    ;   28,72262
28,03394    ;   114702,50000    ;   342,76304    ;   111121,30000    ;   343,81715    ;   1092,40000    ;   41,49752
28,03491    ;   114469,20000    ;   386,55711    ;   110819,60000    ;   284,02668    ;   925,70000     ;   29,54112
28,03593    ;   114326,10000    ;   372,61373    ;   110886,70000    ;   183,76195    ;   898,80000     ;   16,19190
28,03691    ;   114345,90000    ;   508,81026    ;   110618,60000    ;   297,23287    ;   797,00000     ;   26,11513
28,03792    ;   114224,60000    ;   321,72044    ;   110748,20000    ;   277,04384    ;   708,40000     ;   27,78569
28,03894    ;   114329,30000    ;   393,55278    ;   110767,40000    ;   406,28567    ;   650,30000     ;   27,53604
28,03992    ;   114144,20000    ;   321,20184    ;   110641,70000    ;   279,05159    ;   580,50000     ;   27,00720
28,04093    ;   114283,70000    ;   272,66220    ;   110300,20000    ;   264,44525    ;   555,30000     ;   21,19775
28,04191    ;   114042,90000    ;   358,40959    ;   110548,70000    ;   547,43321    ;   545,80000     ;   22,47369
28,04293    ;   113981,00000    ;   288,70477    ;   110701,90000    ;   262,30197    ;   572,00000     ;   32,34536
28,04395    ;   113950,40000    ;   437,16999    ;   110639,80000    ;   436,66305    ;   579,10000     ;   19,77344
28,04492    ;   114064,00000    ;   394,51461    ;   110548,30000    ;   366,73607    ;   625,40000     ;   21,27701
28,04594    ;   114023,80000    ;   422,71971    ;   110562,90000    ;   270,38016    ;   682,40000     ;   35,07833
28,04692    ;   114352,50000    ;   259,24516    ;   110768,80000    ;   422,58827    ;   729,20000     ;   30,07324
28,04793    ;   114384,90000    ;   330,78844    ;   110782,50000    ;   241,89816    ;   813,10000     ;   30,88131
28,04891    ;   114433,80000    ;   365,32506    ;   110694,40000    ;   543,79126    ;   925,70000     ;   25,69068
28,04993    ;   114357,00000    ;   253,79651    ;   110879,30000    ;   206,40039    ;   1031,40000    ;   35,92028
28,05090    ;   114416,00000    ;   278,61842    ;   111025,70000    ;   454,84162    ;   1111,50000    ;   58,63493
28,05192    ;   114466,10000    ;   283,62473    ;   110887,80000    ;   256,09712    ;   1099,80000    ;   54,46671
28,05290    ;   114647,40000    ;   156,74551    ;   110912,20000    ;   498,10726    ;   1244,20000    ;   30,34176
28,05392    ;   114556,50000    ;   290,23984    ;   111098,60000    ;   312,65075    ;   1404,90000    ;   38,00132
28,05493    ;   114458,90000    ;   365,12812    ;   111170,50000    ;   395,13605    ;   1485,70000    ;   43,87115
28,05591    ;   114812,10000    ;   573,06107    ;   111127,20000    ;   314,44123    ;   1682,30000    ;   43,91418
28,05692    ;   115047,10000    ;   391,70296    ;   111339,70000    ;   458,92412    ;   1820,60000    ;   61,47122
28,05794    ;   115014,00000    ;   414,20285    ;   111259,10000    ;   271,83224    ;   1971,30000    ;   44,44235
28,05892    ;   114931,10000    ;   143,52735    ;   111366,40000    ;   306,59535    ;   2036,40000    ;   55,34578
28,05990    ;   115089,80000    ;   189,25339    ;   111419,40000    ;   226,72019    ;   2090,80000    ;   38,29360
28,06091    ;   115001,60000    ;   378,08118    ;   111394,60000    ;   501,12456    ;   2200,00000    ;   36,37154
28,06193    ;   115070,50000    ;   289,74826    ;   111135,70000    ;   272,95667    ;   2224,70000    ;   27,24396
28,06291    ;   114940,30000    ;   289,21236    ;   111378,80000    ;   398,36103    ;   2235,30000    ;   54,67490
28,06392    ;   114965,90000    ;   279,76278    ;   111293,50000    ;   300,09934    ;   2337,80000    ;   52,24260
28,06490    ;   115208,70000    ;   466,25745    ;   111344,30000    ;   399,32055    ;   2330,10000    ;   74,34671
28,06592    ;   115146,20000    ;   364,33708    ;   111418,50000    ;   395,91196    ;   2391,50000    ;   52,48968
28,06689    ;   115210,60000    ;   223,63025    ;   111527,50000    ;   424,92856    ;   2438,30000    ;   58,37056
28,06791    ;   115004,80000    ;   408,08763    ;   111375,30000    ;   316,98687    ;   2439,40000    ;   74,80968
28,06893    ;   114960,00000    ;   125,34131    ;   111254,10000    ;   149,39392    ;   2483,70000    ;   36,61223
28,06991    ;   114960,30000    ;   312,05272    ;   111555,50000    ;   256,69102    ;   2441,60000    ;   44,52515
28,07092    ;   114908,10000    ;   316,55382    ;   111277,40000    ;   302,58597    ;   2479,70000    ;   33,72454
28,07190    ;   115002,90000    ;   475,10594    ;   111313,30000    ;   328,84378    ;   2478,20000    ;   50,83699
28,07292    ;   114907,40000    ;   385,99718    ;   111036,30000    ;   227,22287    ;   2466,80000    ;   67,94082
28,07389    ;   114766,90000    ;   259,23196    ;   111380,80000    ;   427,76936    ;   2471,80000    ;   37,58782
28,07491    ;   114774,60000    ;   198,12746    ;   111162,00000    ;   220,12976    ;   2439,30000    ;   36,93553
28,07589    ;   114724,30000    ;   304,71810    ;   110993,30000    ;   256,84195    ;   2480,20000    ;   49,70982
28,07690    ;   114813,40000    ;   325,60480    ;   111097,30000    ;   461,81262    ;   2432,40000    ;   39,66303
28,07792    ;   114489,50000    ;   381,31476    ;   111116,40000    ;   467,18738    ;   2482,50000    ;   52,83780
28,07890    ;   114676,10000    ;   370,59845    ;   111017,30000    ;   344,54029    ;   2518,10000    ;   57,70124
28,07992    ;   114668,30000    ;   176,87098    ;   110969,10000    ;   265,95967    ;   2438,80000    ;   35,26660
28,08089    ;   114773,70000    ;   209,25373    ;   111169,50000    ;   320,78177    ;   2491,10000    ;   53,52144
28,08191    ;   114892,00000    ;   234,65483    ;   111216,70000    ;   502,07592    ;   2486,70000    ;   29,73232
28,08289    ;   114746,00000    ;   312,02172    ;   110947,40000    ;   367,15791    ;   2468,50000    ;   47,75691
28,08390    ;   114774,70000    ;   154,87920    ;   111117,30000    ;   347,57063    ;   2486,20000    ;   40,70708
28,08488    ;   114841,80000    ;   271,14768    ;   110940,20000    ;   514,02028    ;   2443,80000    ;   34,03201
28,08586    ;   114854,20000    ;   251,53343    ;   111159,10000    ;   190,19081    ;   2478,60000    ;   63,26347
28,08691    ;   114641,20000    ;   371,50828    ;   111080,80000    ;   402,65502    ;   2465,90000    ;   57,22752
