# Quantenoptiklabor: Experiment Interferenz und Energiekorrelation
# Messung vom 28.09.2008, 08:15 Uhr
# Datenaufnahme: Pro Datenpunkt 10 Messungen mit 1s: Mittelwert und Standardabweichung
# Didaktik der Physik, Universität Erlangen
# Lab-User: P. Bronner

#Aufnahme der Koinzidenzen von Trigger&Transmittiert + Trigger&Reflektiert

#Achsenbeschriftung:
# Weg [nm]	Einzelereignisse [Hz]	Stab Einzel [Hz]	Koinz [Hz]	Stab Koinz [Hz]

2065	28248,6	146,7	1072,8	45,9
2073	28787,3	248,0	1244,1	57,8
2081	28968,3	126,6	1346,5	49,3
2088	29122,7	139,8	1414,5	50,4
2097	29369,7	225,2	1560,3	40,2
2104	29501,0	309,2	1695,6	100,6
2113	29718,8	211,3	1778,2	83,7
2120	30033,9	205,6	1928,3	26,5
2129	30034,4	102,6	2011,6	55,9
2137	30294,2	241,2	2177,1	42,7
2145	30576,1	135,7	2320,2	64,5
2153	30648,9	201,8	2434,6	92,2
2160	30631,0	189,4	2525,8	67,9
2170	30728,7	185,8	2624,1	51,2
2177	30746,7	162,1	2627,8	66,3
2185	30770,9	189,2	2717,7	66,7
2193	30760,0	246,7	2775,8	64,8
2201	30762,6	210,7	2863,6	52,8
2209	30717,5	164,3	2923,5	61,3
2217	30575,6	166,1	2939,3	44,6
2226	30526,1	211,4	2941,1	49,1
2233	30378,6	172,2	2944,9	61,5
2242	30201,9	197,9	2922,5	96,3
2250	30013,1	163,8	2871,7	49,3
2257	29884,4	251,3	2880,6	57,3
2266	29719,3	175,5	2755,0	70,7
2274	29563,7	225,6	2730,5	59,4
2282	29208,2	116,7	2612,9	50,1
2291	28878,2	338,7	2457,9	72,4
2299	28807,9	102,3	2399,9	61,0
2307	28572,7	208,8	2272,8	80,2
2316	28442,3	171,8	2228,8	77,2
2323	28099,2	198,9	2043,0	94,2
2332	27948,8	211,0	1919,7	65,0
2340	27779,1	173,5	1760,6	83,6
2348	27635,8	149,3	1649,4	62,7
2356	27348,7	97,2	1491,8	53,4
2365	27274,7	136,3	1430,3	35,4
2372	27336,3	215,2	1371,5	43,5
2381	27268,9	135,0	1268,1	53,5
2389	27135,6	101,5	1089,0	34,4
2398	27117,2	213,0	1029,6	35,3
2405	27113,0	133,4	951,5	29,3
2414	27303,8	191,8	913,8	23,9
2422	27263,6	148,4	880,9	20,8
2430	27358,2	190,2	845,2	26,8
2439	27557,1	150,7	826,0	29,3
2447	27697,9	103,7	830,1	35,8
2456	27863,9	204,2	882,6	26,7
2463	28093,5	274,4	901,8	25,4
2472	28261,7	162,1	945,8	24,8
2480	28581,9	188,9	1055,4	29,7
2488	28867,4	168,5	1115,1	36,7
2496	29008,9	203,0	1223,6	69,8
2504	29177,5	239,9	1276,2	66,5
2513	29399,5	202,2	1361,8	79,1
2521	29712,1	159,0	1512,2	51,3
2529	30057,9	226,5	1663,9	79,5
2538	30360,8	182,8	1796,1	46,1
2546	30370,1	191,8	1940,3	40,3
2555	30633,7	174,4	2094,1	58,0
2562	30750,2	218,7	2231,0	90,2
2571	30944,4	174,8	2310,6	65,4
2579	31023,8	179,4	2442,8	58,1
2587	31067,6	141,7	2557,0	61,7
2596	31107,0	107,8	2732,2	61,3
2605	30921,1	146,4	2718,4	58,3
2613	30946,4	177,7	2783,7	57,9
2621	30849,0	137,8	2891,4	53,6
2630	30838,1	186,8	2897,3	66,4
2638	30612,1	245,8	2987,3	67,9
2647	30533,0	147,4	2967,3	63,6
2655	30323,5	148,0	2962,5	45,8
2664	29972,6	245,5	2943,7	39,1
2672	29871,8	158,1	2927,5	56,0
2680	29582,4	137,3	2858,9	47,9
2688	29225,2	147,0	2768,1	70,3
2697	29093,1	226,5	2698,8	69,0
2706	28874,2	267,3	2614,4	61,5
2714	28553,8	152,2	2504,6	66,2
2722	28325,3	160,8	2420,2	82,8
2731	28089,1	228,9	2262,4	70,6
2739	27915,1	157,3	2160,1	73,6
2748	27509,2	167,3	2030,1	102,2
2755	27470,9	130,5	1905,9	90,0
2764	27374,3	182,2	1743,5	76,9
2774	27236,1	135,8	1595,4	68,6
2781	27053,0	199,3	1468,2	64,5
2790	27009,8	67,9	1367,9	58,9
2798	27003,9	104,0	1269,2	55,7
2807	26872,8	169,9	1161,8	47,9
2815	26861,2	162,3	1063,2	50,0
2823	27064,0	181,0	959,6	27,7
2832	27083,9	169,2	873,4	25,2
2840	27257,6	114,0	842,1	31,9
2849	27421,2	187,2	826,8	30,5
2858	27469,6	192,6	798,7	20,7
2866	27679,8	117,7	795,4	28,2
2874	28043,8	127,0	829,5	36,3
2882	28205,4	242,0	861,1	42,2
2892	28550,1	177,5	908,3	42,0
2899	28859,4	196,7	993,0	36,2
2909	29155,6	207,1	1075,6	36,4
2918	29381,2	223,7	1171,7	64,6
2925	29522,5	182,7	1201,2	47,7
2935	29834,1	225,5	1307,0	39,5
2942	30102,4	266,5	1478,4	93,6
